"","locus","PRS_quantile","count","estimate","se","ci_lower","ci_upper","z","p"
"22","16p11.2_distal_DUP","2","20","-0.305204642822096","0.21538093977342","-0.727351284778","0.116941999133807","-1.41704573832378","0.156474430910232"
"23","16p11.2_distal_DUP","3","25","-0.0242655018387965","0.192970239356289","-0.402487170977123","0.35395616729953","-0.125747379076388","0.899932291936579"
"24","16p11.2_distal_DUP","4","28","-0.357647234572302","0.190495840550506","-0.731019082051294","0.0157246129066897","-1.87745429789308","0.0604604085049346"
"25","16p11.2_proximal_DEL","1","29","1.17273154258682","0.174924736092569","0.829879059845384","1.51558402532825","6.70420644205643","2.04179982750592e-11"
"26","16p11.2_proximal_DEL","2","18","1.35454420131926","0.233567474463102","0.896751951371579","1.81233645126694","5.79936998690819","6.6877044867833e-09"
"27","16p11.2_proximal_DEL","3","23","1.28313984045578","0.201149726150605","0.8888863772006","1.67739330371097","6.3790285227387","1.79428871650371e-10"
"28","16p11.2_proximal_DEL","4","22","1.21082045916597","0.210972306259877","0.797314738896607","1.62432617943532","5.73923886329644","9.55318758576033e-09"
"29","16p11.2_proximal_DUP","1","23","-0.119033721397298","0.196398807615657","-0.503975384323986","0.265907941529391","-0.606081690833076","0.544462659944459"
"30","16p11.2_proximal_DUP","2","27","-0.401687883803466","0.185346714954363","-0.764967445114017","-0.0384083224929145","-2.16722418793541","0.0302214454388287"
"31","16p11.2_proximal_DUP","3","33","-0.233261482652168","0.170545395156683","-0.567530457159266","0.101007491854931","-1.36773838096224","0.171398790518358"
"32","16p11.2_proximal_DUP","4","35","-0.458065151312793","0.169713852567975","-0.790704302346024","-0.125426000279563","-2.69904397538395","0.00695572748020657"
"33","16p12.1_BP1_BP2_DEL","1","169","-0.0764295535849086","0.0725638991935986","-0.218654796004362","0.0657956888345448","-1.05327241829986","0.292220136494453"
"34","16p12.1_BP1_BP2_DEL","2","170","-0.0724568775913771","0.0741872914891764","-0.217863968910163","0.0729502137274086","-0.976675063032167","0.328733741976206"
"35","16p12.1_BP1_BP2_DEL","3","156","-0.101755414105518","0.0773416097923081","-0.253344969298442","0.0498341410874055","-1.31566196228357","0.188292245720025"
"36","16p12.1_BP1_BP2_DEL","4","171","-0.0854063702503095","0.0760056424315713","-0.234377429416189","0.0635646889155702","-1.12368460443186","0.261151072812775"
"37","16p12.1_BP1_BP2_DUP","1","5","-0.103169373151619","0.421319922275368","-0.92895642081134","0.722617674508102","-0.244871812836301","0.80655647326502"
"38","16p12.1_BP1_BP2_DUP","2","17","0.026370109507934","0.233633746748662","-0.431552034119443","0.484292253135311","0.112869437206357","0.91013442160266"
"39","16p12.1_BP1_BP2_DUP","3","23","0.398338016292198","0.201216068043732","0.00395452292648268","0.792721509657913","1.97965311699473","0.0477468030386635"
"40","16p12.1_BP1_BP2_DUP","4","19","0.305333963312998","0.227061875738296","-0.139707313134062","0.750375239760058","1.34471699540136","0.178721418679252"
"41","16p12.1_BP2_BP3_DEL","1","51","0.0431357977699848","0.131961662098463","-0.215509059943003","0.301780655482972","0.326881285700987","0.743758746100498"
"42","16p12.1_BP2_BP3_DEL","2","37","0.085020230455719","0.158383602924957","-0.225411631277196","0.395452092188634","0.536799446947815","0.591408022694762"
"43","16p12.1_BP2_BP3_DEL","3","56","0.242324465952516","0.128983514980198","-0.0104832234086722","0.495132155313705","1.87872431596951","0.0602866932611917"
"44","16p12.1_BP2_BP3_DEL","4","63","0.594745728078815","0.124722691789102","0.350289252172174","0.839202203985456","4.76854467737506","1.85969879846161e-06"
"45","16p12.1_BP2_BP3_DUP","1","37","-0.508190248975123","0.154941137383394","-0.811874878246575","-0.20450561970367","-3.27989233561408","0.00103902216988812"
"46","16p12.1_BP2_BP3_DUP","2","38","0.209400541426882","0.156286111168759","-0.0969202364638851","0.515721319317648","1.33985380953506","0.180297642310702"
"47","16p12.1_BP2_BP3_DUP","3","44","0.00507411950512831","0.143869552184336","-0.27691020277617","0.287058441786427","0.0352688906588587","0.971865439688466"
"48","16p12.1_BP2_BP3_DUP","4","40","-0.173605628523421","0.15274583752126","-0.472987470065091","0.125776213018249","-1.13656536466506","0.255724289645155"
"49","16p13.11_BP1_BP2_DEL","1","23","-0.139043588736649","0.192343651713013","-0.516037146094154","0.237949968620856","-0.722891488740733","0.469749197184651"
"50","16p13.11_BP1_BP2_DEL","2","25","0.441523598238434","0.192655386364496","0.063919040964022","0.819128155512845","2.29177915328612","0.0219216268911145"
"51","16p13.11_BP1_BP2_DEL","3","29","-0.140649013662209","0.17918325014483","-0.491848183946076","0.210550156621657","-0.784945096980471","0.432488668996247"
"52","16p13.11_BP1_BP2_DEL","4","19","0.136943458419662","0.227060807604986","-0.30809572448611","0.581982641325434","0.603113588223911","0.546435268778152"
"53","16p13.11_BP1_BP2_DUP","1","124","0.0575000533483184","0.0846762248849925","-0.108465347426267","0.223465454122904","0.679057827937124","0.497103679908945"
"54","16p13.11_BP1_BP2_DUP","2","125","0.116570383234394","0.0862326831886629","-0.0524456758153856","0.285586442284173","1.35181208474468","0.176440222198455"
"55","16p13.11_BP1_BP2_DUP","3","127","0.179061773119415","0.0860286127500674","0.0104456921292832","0.347677854109547","2.08142113879751","0.0373993456878413"
"56","16p13.11_BP1_BP2_DUP","4","140","0.233541386429724","0.0840386392875984","0.0688256534260309","0.398257119433417","2.77897629482665","0.00545464312291006"
"57","16p13.11_BP1_BP3_DUP","1","22","0.213540277075046","0.200869885216127","-0.180164697948563","0.607245252098655","1.06307760790168","0.287750773101565"
"58","16p13.11_BP1_BP3_DUP","2","41","0.0315638680148017","0.150473295717522","-0.263363791591541","0.326491527621144","0.209763917672512","0.833852604780357"
"59","16p13.11_BP1_BP3_DUP","3","37","0.17175991216158","0.158657282941333","-0.139208362403433","0.482728186726593","1.08258448006507","0.278996983309916"
"60","16p13.11_BP1_BP3_DUP","4","39","0.224360872021784","0.158517860387457","-0.0863341343376321","0.535055878381201","1.41536651752295","0.15696593647383"
"61","17p12_DEL","1","57","-0.0522051104447606","0.124828552124936","-0.296869072609635","0.192458851720114","-0.418214499456107","0.675791700142479"
"62","17p12_DEL","2","44","-0.00234251779321746","0.145252716045867","-0.287037841243118","0.282352805656683","-0.0161271875458615","0.987132974159393"
"63","17p12_DEL","3","41","0.0164925589226858","0.150732421148818","-0.278942986528998","0.31192810437437","0.109416134876535","0.912872780305801"
"64","17p12_DEL","4","46","-0.0604925580164984","0.145969307781146","-0.346592401267546","0.225607285234549","-0.414419708745866","0.678568149152112"
"65","17p12_DUP","1","35","0.0589917755619649","0.157060051558782","-0.248845925493248","0.366829476617178","0.375600128590855","0.707215441155962"
"66","17p12_DUP","2","13","0.254967548460196","0.267149598814431","-0.268645665216088","0.77858076213648","0.954399892763093","0.339884870960785"
"67","17p12_DUP","3","32","0.112240071637929","0.176223183150122","-0.233157367336311","0.457637510612169","0.636920010361595","0.524179229045202"
"68","17p12_DUP","4","23","-0.035442367091902","0.206394809597626","-0.439976193903248","0.369091459719444","-0.171721213149682","0.863657251825088"
"69","17q12_DUP","1","20","0.471986979575385","0.210741016575559","0.0589345870872898","0.885039372063481","2.23965408938871","0.0251168111676436"
"70","17q12_DUP","2","18","-0.139498671739463","0.227045907946806","-0.584508651315203","0.305511307836276","-0.614407337269192","0.538948376036362"
"71","17q12_DUP","3","22","0.017575682693832","0.205722605855189","-0.385640624782338","0.420791990170002","0.0854338910435728","0.93191671809122"
"72","17q12_DUP","4","24","0.398393992602627","0.202069026171555","0.00233870130638042","0.794449283898875","1.97157377432202","0.0486625919440418"
"73","1q21.1_DEL","1","20","0.178892557250124","0.205591652571475","-0.224067081789967","0.581852196290215","0.870135314408891","0.384229727334619"
"74","1q21.1_DEL","2","26","0.0486865888844406","0.188926437614985","-0.32160922884093","0.418982406609811","0.25770130162333","0.796638271351468"
"75","1q21.1_DEL","3","24","-0.0591375960225601","0.196966972430174","-0.445192861985702","0.326917669940581","-0.300241178980018","0.763994173309353"
"76","1q21.1_DEL","4","19","0.152030910055729","0.227064634957626","-0.293015774461219","0.597077594572676","0.669549047495221","0.503147724266462"
"77","1q21.1_DUP","1","52","0.286079707333904","0.130695717878099","0.0299161002928308","0.542243314374978","2.18889885589621","0.0286077956259474"
"78","1q21.1_DUP","2","37","0.348970872554391","0.158381365779673","0.038543395626231","0.659398349482551","2.20335814656283","0.027573070275741"
"79","1q21.1_DUP","3","52","0.163473827428921","0.133846076075787","-0.098864481679622","0.425812136537464","1.22135689160105","0.221955426603082"
"80","1q21.1_DUP","4","29","0.317948823198626","0.180733154138974","-0.0362881589137635","0.672185805311016","1.75921692239234","0.0785454578785836"
"81","1q21.1_TAR_BP1_BP2_DEL","1","46","0.0330856804019905","0.137454741949213","-0.236325613818468","0.302496974622449","0.240702357247267","0.809786583603339"
"82","1q21.1_TAR_BP1_BP2_DEL","2","34","-0.178608084508268","0.162843701042776","-0.49778173855211","0.140565569535573","-1.09680683603077","0.272729974647746"
"83","1q21.1_TAR_BP1_BP2_DEL","3","39","-0.114126661257067","0.15072333454115","-0.409544396957722","0.181291074443587","-0.757193049135393","0.448937005251405"
"84","1q21.1_TAR_BP1_BP2_DEL","4","38","-0.0996662504308827","0.156522162813138","-0.406449689544632","0.207117188682867","-0.636754876367689","0.524286804275237"
"85","1q21.1_TAR_BP1_BP2_DUP","1","2","0.450687204480209","0.544027998740905","-0.615607673051966","1.51698208201238","0.828426488201483","0.407432102931882"
"86","1q21.1_TAR_BP1_BP2_DUP","2","2","0.143761906365692","0.681030905923383","-1.19105866924414","1.47858248197552","0.21109454081349","0.83281417322511"
"87","1q21.1_TAR_BP1_BP2_DUP","3","9","0.622856304281145","0.321601212878287","-0.00748207296029646","1.25319468152259","1.93673493550185","0.0527821547381788"
"88","1q21.1_TAR_BP1_BP2_DUP","4","8","-0.396512406139018","0.349894885644823","-1.08230638200287","0.289281569724835","-1.1332329291075","0.257120702464303"
"89","1q21.1_TAR_BP1_BP3_DUP","1","40","-0.0423322897902191","0.122702458235489","-0.282829107931777","0.198164528351339","-0.344999524858545","0.730095862752556"
"90","1q21.1_TAR_BP1_BP3_DUP","2","53","0.218813807842925","0.115184559043038","-0.00694792788143059","0.44457554356728","1.89968004097811","0.0574796191863926"
"91","1q21.1_TAR_BP1_BP3_DUP","3","48","-0.0211003257070692","0.117925308078539","-0.252233929541005","0.210033278126867","-0.178929578823032","0.857993564176684"
"92","1q21.1_TAR_BP1_BP3_DUP","4","63","0.0896873517439599","0.115899618653292","-0.137475900816492","0.316850604304412","0.773836469749356","0.439030366528267"
"93","1q21.1_TAR_BP2_BP3_DUP","1","14","0.298554409916179","0.235524608077756","-0.163073821916224","0.760182641748581","1.26761450683579","0.204940265073351"
"94","1q21.1_TAR_BP2_BP3_DUP","2","20","0.210257193912496","0.185389360777848","-0.153105953212086","0.573620341037077","1.13413840487021","0.256740750914559"
"95","1q21.1_TAR_BP2_BP3_DUP","3","20","0.0920020807586118","0.21057440974502","-0.320723762341628","0.504727923858852","0.436910073118642","0.662178042386121"
"96","1q21.1_TAR_BP2_BP3_DUP","4","19","0.140418792796207","0.227093167999023","-0.304683816481879","0.585521402074293","0.618331207554474","0.536359239024316"
"97","22q11.2_BP1_BP2_A_B_DUP","1","6","0.354272334166129","0.38459023013102","-0.39952451689067","1.10806918522293","0.921168314768259","0.356966033562313"
"98","22q11.2_BP1_BP2_A_B_DUP","2","8","0.0892589400163619","0.340538189593083","-0.57819591158608","0.756713791618804","0.262111395268236","0.793236406587345"
"99","22q11.2_BP1_BP2_A_B_DUP","3","6","-0.420548194228864","0.393865556216738","-1.19252468441367","0.351428295955942","-1.06774554817239","0.28563933922673"
"100","22q11.2_BP1_BP2_A_B_DUP","4","7","0.269619804530338","0.37406563674927","-0.463548843498232","1.00278845255891","0.7207820714926","0.471046245466905"
"101","22q11.2_BP1_BP4_A_D_DUP","1","56","0.309580204495281","0.12593276068405","0.0627519935545431","0.556408415436018","2.45829760908665","0.0139623755114109"
"102","22q11.2_BP1_BP4_A_D_DUP","2","48","0.42976379779151","0.139069081960163","0.157188397149591","0.702339198433429","3.09029003236405","0.00200047022832055"
